row;position;condition;size;species;notes
2;31;4;200;U;
2;30;3;100;P;
2;29;3;100;Y;
2;28;4;200;Ti;
2;27;4;100;Y;
2;26;4;100;L;
2;25;3;50;Y;
2;24;0;10;Y;
2;23;4;150;P;
2;22;4;50;L;
2;21;3;100;P;
2;20;3;200;Y;
2;19;2;50;P;
2;18;3;50;G;
2;17;4;200;Cu;
2;16;4;200;Cu;
2;15;4;200;G;
2;14;4;50;Y;
2;13;3;25;G;
2;12;0;;Cu;
2;11;0;;Y;
2;10;3;100;Cu;
2;9;4;200;Cu;
2;8;1;10;C;eaten away 
2;7;4;10;G;
2;6;4;200;Y;
2;5;0;10;C;
2;4;4;25;G;
2;3;2;10;Y;
2;2;4;200;Cu;
2;1;4;200;G;
1;39;3;200;P;
1;38;4;200;Y;
1;37;4;200;Y;
1;36;4;200;Y;
1;35;4;150;P;
1;34;4;200;G;
1;33;4;200;U;
1;32;4;200;Y;
1;31;4;200;Y;
1;30;4;200;Cu;
1;29;4;200;G;
1;28;3;200;Y;
1;27;4;200;Cu;
1;26;4;150;G;
1;25;4;200;U;
1;24;4;200;Cu;
1;23;4;200;G;
1;22;4;200;Y;
1;21;4;200;Cu;
1;20;4;150;G;
1;19;4;200;Y;
1;18;3;50;P;
1;17;4;200;Y;
1;16;4;200;Y;
1;15;4;200;Y;
1;14;4;150;Y;
1;13;3;50;Y;
1;12;2;25;G;
1;11;2;10;Y;
1;10;4;100;G;
1;9;3;50;Y;
1;8;4;200;L;
1;7;4;100;Y;
1;6;4;200;Cu;
1;5;4;150;Y;
1;4;4;200;Cu;
1;3;4;200;Y;
1;2;4;50;G;
1;1;4;200;Y;
22;37;3;10;Cu;
